Input Amount,Price Impact,Input Token Address,Output Token Address,Output Amount,Exchange Rate,Asset
1300001.0,0.1713,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1298500.38,0.998845677811017,eUSD Mainnet
1350001.0,0.1802,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1348322.05,0.9987563342545672,eUSD Mainnet
1400001.0,0.1895,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1398129.19,0.9986629938121472,eUSD Mainnet
1450001.0,0.1992,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1447920.83,0.9985654009893786,eUSD Mainnet
1500001.0,0.2094,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1497695.93,0.9984632876911416,eUSD Mainnet
1550001.0,0.22,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1547453.31,0.9983563300926904,eUSD Mainnet
1600001.0,0.2312,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1597192.33,0.998244582347136,eUSD Mainnet
1650001.0,0.2429,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1646910.37,0.998126892044308,eUSD Mainnet
1700001.0,0.2552,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1696606.4,0.9980031776451896,eUSD Mainnet
1750001.0,0.2682,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1746278.59,0.9978729097869088,eUSD Mainnet
1800001.0,0.2819,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1795924.84,0.99773546792474,eUSD Mainnet
1850001.0,0.2964,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1845542.74,0.9975901310323616,eUSD Mainnet
1900001.0,0.3118,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1895129.47,0.9974360381915588,eUSD Mainnet
1950001.0,0.3281,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1944681.72,0.9972721655014536,eUSD Mainnet
2000001.0,0.3456,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1994195.61,0.9970973064513468,eUSD Mainnet
2050001.0,0.3643,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2043666.51,0.9969100063853628,eUSD Mainnet
2100001.0,0.3844,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2093088.87,0.9967085110911852,eUSD Mainnet
2150001.0,0.4061,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2142456.01,0.996490703957812,eUSD Mainnet
2200001.0,0.4298,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2191759.79,0.996253997157274,eUSD Mainnet
2250001.0,0.4556,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2240990.2,0.9959952017799104,eUSD Mainnet
2300001.0,0.4841,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2290134.78,0.9957103409955038,eUSD Mainnet
2350001.0,0.5156,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2339177.92,0.9953944360023677,eUSD Mainnet
2400001.0,0.5509,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2388099.69,0.995041122899532,eUSD Mainnet
2450001.0,0.5908,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2436874.41,0.9946422103501182,eUSD Mainnet
2500001.0,0.6363,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2485468.35,0.9941869423252232,eUSD Mainnet
2550001.0,0.6888,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2533836.52,0.99366099072118,eUSD Mainnet
2600001.0,0.7504,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2581917.73,0.993044898828885,eUSD Mainnet
2650001.0,0.8237,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2629626.97,0.992311689693702,eUSD Mainnet
